"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"27114","1","1","2","1938","4","19","2"
"27116","1","1","2","1940","4","19","1"
"27157","4","1","1","1960","1","19","1"
"27157","4","1","1","1960","1","19","1"
"27157","4","2","2","1963","1","19","1"
"27157","4","2","2","1963","1","19","1"
"27157","4","3","2","1990","2","19","1"
"27157","4","3","2","1990","2","19","1"
"27157","4","4","1","1996","2","19","1"
"27157","4","4","1","1996","2","19","1"
"27238","2","1","1","1952","1","12","9"
"27238","2","1","1","1952","1","12","2"
"27238","2","2","2","1961","1","12","9"
"27238","2","2","2","1961","1","12","2"
"27509","1","1","2","1934","4","8","3"
"27730","4","1","2","1949","1","20","2"
"27730","4","1","2","1949","1","20","2"
"27730","4","1","2","1949","1","20","1"
"27730","4","2","1","1939","1","20","2"
"27730","4","2","1","1939","1","20","2"
"27730","4","2","1","1939","1","20","1"
"27730","4","3","2","1972","2","20","2"
"27730","4","3","2","1972","2","20","2"
"27730","4","3","2","1972","2","20","1"
"27730","4","4","1","1985","2","20","2"
"27730","4","4","1","1985","2","20","2"
"27730","4","4","1","1985","2","20","1"
"27734","2","1","2","1951","1","20","2"
"27734","2","1","2","1951","1","20","1"
"27734","2","2","1","1947","1","20","2"
"27734","2","2","1","1947","1","20","1"
"27739","1","1","2","1938","4","20","3"
"27742","1","1","2","1932","4","20","1"
"27912","3","1","1","1948","1","13","2"
"27912","3","1","1","1948","1","13","1"
"27912","3","1","1","1948","1","13","2"
"27912","3","2","2","1954","1","13","2"
"27912","3","2","2","1954","1","13","1"
"27912","3","2","2","1954","1","13","2"
"27912","3","3","1","1985","2","13","2"
"27912","3","3","1","1985","2","13","1"
"27912","3","3","1","1985","2","13","2"
"27923","4","1","1","1951","1","13","3"
"27923","4","2","2","1957","1","13","3"
"27923","4","3","1","1992","2","13","3"
"27923","4","4","1","2000","2","13","3"
"27947","2","1","1","1933","1","13","1"
"27947","2","1","1","1933","1","13","2"
"27947","2","2","2","1932","1","13","1"
"27947","2","2","2","1932","1","13","2"
"28362","1","1","1","1928","4","9","3"
"28441","2","1","1","1950","1","9","5"
"28441","2","2","2","1958","1","9","5"
"28802","2","1","2","1960","1","1","4"
"28802","2","1","2","1960","1","1","3"
"28802","2","2","1","1956","1","1","4"
"28802","2","2","1","1956","1","1","3"
"28859","1","1","2","1930","4","8","1"
"28992","2","1","1","1931","1","20","4"
"28992","2","2","2","1941","1","20","4"
"29140","2","1","1","1949","1","9","1"
"29140","2","1","1","1949","1","9","4"
"29140","2","2","2","1952","1","9","1"
"29140","2","2","2","1952","1","9","4"
"29678","2","1","1","1933","1","19","2"
"29678","2","2","2","1937","1","19","2"
"29680","4","1","1","1964","1","19","1"
"29680","4","1","1","1964","1","19","1"
"29680","4","1","1","1964","1","19","2"
"29680","4","2","2","1970","1","19","1"
"29680","4","2","2","1970","1","19","1"
"29680","4","2","2","1970","1","19","2"
"29680","4","3","1","1990","2","19","1"
"29680","4","3","1","1990","2","19","1"
"29680","4","3","1","1990","2","19","2"
